15:34:08 | WARNING  | unificador | [VALOR_FATURA] Nenhum valor encontrado em 109088667_IGREJA DO EVANGELHO QUADRANGULAR_20251130.pdf
15:34:08 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 109259706
15:34:08 | INFO     | unificador |    Texto extraído: 0 caracteres
15:34:08 | INFO     | unificador |    Preview: ...
15:34:08 | WARNING  | unificador | [VALOR_FATURA] Nenhum valor encontrado em 109259706_IGREJA DO EVANGELHO QUADRANGULAR_20251130.pdf
15:34:08 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 109313271
15:34:08 | INFO     | unificador |    Texto extraído: 0 caracteres
15:34:08 | INFO     | unificador |    Preview: ...
15:34:08 | WARNING  | unificador | [VALOR_FATURA] Nenhum valor encontrado em 109313271_IGREJA DO EVANGELHO QUADRANGULAR_20251130.pdf
15:34:08 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 109525791
15:34:08 | INFO     | unificador |    Texto extraído: 0 caracteres
15:34:08 | INFO     | unificador |    Preview: ...
15:34:08 | WARNING  | unificador | [VALOR_FATURA] Nenhum valor encontrado em 109525791_IGREJA DO EVANGELHO QUADRANGULAR_20251130.pdf
15:34:08 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 109871781
15:34:08 | INFO     | unificador |    Texto extraído: 0 caracteres
15:34:08 | INFO     | unificador |    Preview: ...
15:34:08 | WARNING  | unificador | [VALOR_FATURA] Nenhum valor encontrado em 109871781_IGREJA DO EVANGELHO QUADRANGULAR_20251130.pdf
15:34:08 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 1010178044
15:34:08 | INFO     | unificador |    Texto extraído: 2713 caracteres
15:34:08 | INFO     | unificador |    Preview: Evite problemas: Não edite o código de barras ou pague o mesmo boleto duas vezes. Caso o boleto já tenha vencido, solicite um novo boleto. 529 52990.00108 90001.427211 26000.000104 6 12960000018373 Be...
15:34:08 | DEBUG    | unificador | [VALOR_BOLETO] Via rótulo (alternativo): 183.73
15:34:08 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 10102327
15:34:09 | INFO     | unificador |    Texto extraído: 2699 caracteres
15:34:09 | INFO     | unificador |    Preview: Evite problemas: Não edite o código de barras ou pague o mesmo boleto duas vezes. Caso o boleto já tenha vencido, solicite um novo boleto. 529 52990.00108 90001.427211 31000.000104 1 12960000003596 Be...
15:34:09 | DEBUG    | unificador | [VALOR_BOLETO] Via rótulo (alternativo): 35.96
15:34:09 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 1010356558
15:34:09 | INFO     | unificador |    Texto extraído: 2709 caracteres
15:34:09 | INFO     | unificador |    Preview: Evite problemas: Não edite o código de barras ou pague o mesmo boleto duas vezes. Caso o boleto já tenha vencido, solicite um novo boleto. 529 52990.00108 90001.427211 32000.000102 1 12960000037840 Be...
15:34:09 | DEBUG    | unificador | [VALOR_BOLETO] Via rótulo (alternativo): 378.4
15:34:09 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 1010814895
15:34:10 | INFO     | unificador |    Texto extraído: 2709 caracteres
15:34:10 | INFO     | unificador |    Preview: Evite problemas: Não edite o código de barras ou pague o mesmo boleto duas vezes. Caso o boleto já tenha vencido, solicite um novo boleto. 529 52990.00108 90001.415869 03000.000103 7 12960000038283 Be...
15:34:10 | DEBUG    | unificador | [VALOR_BOLETO] Via rótulo (alternativo): 382.83
15:34:10 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 101090745
15:34:10 | INFO     | unificador |    Texto extraído: 2705 caracteres
15:34:10 | INFO     | unificador |    Preview: Evite problemas: Não edite o código de barras ou pague o mesmo boleto duas vezes. Caso o boleto já tenha vencido, solicite um novo boleto. 529 52990.00108 90001.415869 11000.000106 9 12960000027020 Be...
15:34:10 | DEBUG    | unificador | [VALOR_BOLETO] Via rótulo (alternativo): 270.2
15:34:10 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 1011172939
15:34:11 | INFO     | unificador |    Texto extraído: 2707 caracteres
15:34:11 | INFO     | unificador |    Preview: Evite problemas: Não edite o código de barras ou pague o mesmo boleto duas vezes. Caso o boleto já tenha vencido, solicite um novo boleto. 529 52990.00108 90001.427211 33000.000100 2 12960000015434 Be...
15:34:11 | DEBUG    | unificador | [VALOR_BOLETO] Via rótulo (alternativo): 154.34
15:34:11 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 1011309887
15:34:12 | INFO     | unificador |    Texto extraído: 2705 caracteres
15:34:12 | INFO     | unificador |    Preview: Evite problemas: Não edite o código de barras ou pague o mesmo boleto duas vezes. Caso o boleto já tenha vencido, solicite um novo boleto. 529 52990.00108 90001.427211 43000.000109 9 12960000009998 Be...
15:34:12 | DEBUG    | unificador | [VALOR_BOLETO] Via rótulo (alternativo): 99.98
15:34:12 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 101139716
15:34:12 | INFO     | unificador |    Texto extraído: 2699 caracteres
15:34:12 | INFO     | unificador |    Preview: Evite problemas: Não edite o código de barras ou pague o mesmo boleto duas vezes. Caso o boleto já tenha vencido, solicite um novo boleto. 529 52990.00108 90001.415869 00000.000109 9 12960000007184 Be...
15:34:12 | DEBUG    | unificador | [VALOR_BOLETO] Via rótulo (alternativo): 71.84
15:34:12 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 1011847514
15:34:13 | INFO     | unificador |    Texto extraído: 2707 caracteres
15:34:13 | INFO     | unificador |    Preview: Evite problemas: Não edite o código de barras ou pague o mesmo boleto duas vezes. Caso o boleto já tenha vencido, solicite um novo boleto. 529 52990.00108 90001.415851 83000.000105 4 12960000018107 Be...
15:34:13 | DEBUG    | unificador | [VALOR_BOLETO] Via rótulo (alternativo): 181.07
15:34:13 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 1012661286
15:34:14 | INFO     | unificador |    Texto extraído: 2707 caracteres
15:34:14 | INFO     | unificador |    Preview: Evite problemas: Não edite o código de barras ou pague o mesmo boleto duas vezes. Caso o boleto já tenha vencido, solicite um novo boleto. 529 52990.00108 90001.427211 42000.000101 1 12960000020289 Be...
15:34:14 | DEBUG    | unificador | [VALOR_BOLETO] Via rótulo (alternativo): 202.89
15:34:14 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 101274646
15:34:14 | INFO     | unificador |    Texto extraído: 2707 caracteres
15:34:14 | INFO     | unificador |    Preview: Evite problemas: Não edite o código de barras ou pague o mesmo boleto duas vezes. Caso o boleto já tenha vencido, solicite um novo boleto. 529 52990.00108 90001.415869 06000.000106 1 12960000050020 Be...
15:34:14 | DEBUG    | unificador | [VALOR_BOLETO] Via rótulo (alternativo): 500.2
15:34:14 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 1012882411
15:34:15 | INFO     | unificador |    Texto extraído: 2707 caracteres
15:34:15 | INFO     | unificador |    Preview: Evite problemas: Não edite o código de barras ou pague o mesmo boleto duas vezes. Caso o boleto já tenha vencido, solicite um novo boleto. 529 52990.00108 90001.415869 18000.000101 2 12960000024271 Be...
15:34:15 | DEBUG    | unificador | [VALOR_BOLETO] Via rótulo (alternativo): 242.71
15:34:15 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 101294909
15:34:15 | INFO     | unificador |    Texto extraído: 2705 caracteres
15:34:15 | INFO     | unificador |    Preview: Evite problemas: Não edite o código de barras ou pague o mesmo boleto duas vezes. Caso o boleto já tenha vencido, solicite um novo boleto. 529 52990.00108 90001.415869 22000.000103 1 12960000019274 Be...
15:34:15 | DEBUG    | unificador | [VALOR_BOLETO] Via rótulo (alternativo): 192.74
15:34:15 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 101352376
15:34:15 | INFO     | unificador |    Texto extraído: 2705 caracteres
15:34:15 | INFO     | unificador |    Preview: Evite problemas: Não edite o código de barras ou pague o mesmo boleto duas vezes. Caso o boleto já tenha vencido, solicite um novo boleto. 529 52990.00108 90001.415851 97000.000105 1 12960000011113 Be...
15:34:15 | DEBUG    | unificador | [VALOR_BOLETO] Via rótulo (alternativo): 111.13
15:34:15 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 10137869
15:34:16 | INFO     | unificador |    Texto extraído: 2703 caracteres
15:34:16 | INFO     | unificador |    Preview: Evite problemas: Não edite o código de barras ou pague o mesmo boleto duas vezes. Caso o boleto já tenha vencido, solicite um novo boleto. 529 52990.00108 90001.415869 21000.000105 6 12960000022218 Be...
15:34:16 | DEBUG    | unificador | [VALOR_BOLETO] Via rótulo (alternativo): 222.18
15:34:16 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 101423532
15:34:16 | INFO     | unificador |    Texto extraído: 2705 caracteres
15:34:16 | INFO     | unificador |    Preview: Evite problemas: Não edite o código de barras ou pague o mesmo boleto duas vezes. Caso o boleto já tenha vencido, solicite um novo boleto. 529 52990.00108 90001.415869 08000.000102 3 12960000032298 Be...
15:34:16 | DEBUG    | unificador | [VALOR_BOLETO] Via rótulo (alternativo): 322.98
15:34:16 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 1014330872
15:34:16 | INFO     | unificador |    Texto extraído: 2707 caracteres
15:34:16 | INFO     | unificador |    Preview: Evite problemas: Não edite o código de barras ou pague o mesmo boleto duas vezes. Caso o boleto já tenha vencido, solicite um novo boleto. 529 52990.00108 90001.427211 34000.000108 2 12960000014985 Be...
15:34:16 | DEBUG    | unificador | [VALOR_BOLETO] Via rótulo (alternativo): 149.85
15:34:16 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 10152975
15:34:17 | INFO     | unificador |    Texto extraído: 2705 caracteres
15:34:17 | INFO     | unificador |    Preview: Evite problemas: Não edite o código de barras ou pague o mesmo boleto duas vezes. Caso o boleto já tenha vencido, solicite um novo boleto. 529 52990.00108 90001.415869 09000.000100 2 12960000042450 Be...
15:34:17 | DEBUG    | unificador | [VALOR_BOLETO] Via rótulo (alternativo): 424.5
15:34:17 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 1015487416
15:34:18 | INFO     | unificador |    Texto extraído: 2707 caracteres
15:34:18 | INFO     | unificador |    Preview: Evite problemas: Não edite o código de barras ou pague o mesmo boleto duas vezes. Caso o boleto já tenha vencido, solicite um novo boleto. 529 52990.00108 90001.427211 30000.000106 1 12960000011945 Be...
15:34:18 | DEBUG    | unificador | [VALOR_BOLETO] Via rótulo (alternativo): 119.45
15:34:18 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 101569565
15:34:18 | INFO     | unificador |    Texto extraído: 2705 caracteres
